id,rumour,text,reply_to
552792048173334528,charliehebdo,prayers being sent,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552792055122886656,charliehebdo,11 killed,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552792212056993792,charliehebdo,,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552792555944153088,charliehebdo,Omg ... what is the world turning into . ..,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552792564554678272,charliehebdo,A person killed his own son & daughter bcz authority neglected his rights of social security benefits . http://t.co/YpMLFGs6YU,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552792656552939523,charliehebdo,"11 ( 9 journalists and 2 policemen ) killed and 5 injured . Moreover witnesses affirm that they said "" We're gonna avenge our prophet ""","BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552792955052761088,charliehebdo,actually that wasnt me it was the cats present 2me but it was floping like aflipperedfish so i spatonitandthrewitinthegardenbed,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552792980658987009,charliehebdo,"“ : At least 10 killed in shooting at French satirical newspaper Charlie Hebdo , Paris prosecutor's office says . http://t.co/CjpubYd0Rk ”","BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552793021256056833,charliehebdo,Indeed but illegal traffics still exist and gunfights are not that rare in hard districts,How could this happen ? France has pretty restrictive gun laws .
552793325733183488,charliehebdo,"when will we hear good new like the people are living in peace , hmmm ... killing every day","BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552794023258099713,charliehebdo,SAD indeed ...,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552794111447941121,charliehebdo,Oh and our anti-terrorist plan has just been put to its highest level in the part in which the drama's happening .,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552794765331144705,charliehebdo,the headlesschookìmpersonatingghekowithnotail gotaway oh unlesthecatateit anyway im stil last withonly 5beetles,actually that wasnt me it was the cats present 2me but it was floping like aflipperedfish so i spatonitandthrewitinthegardenbed
552795069691232258,charliehebdo,May God have mercy on our world . Not France this time for these killings,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552795629768814592,charliehebdo,"“ : BREAKING : At least 10 killed in shooting at French satirical newspaper Charlie Hebdo , Paris prosecutor's office says .","BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY"
552796152295219200,charliehebdo,curly wurlys are so much nicer than half avocados dont u think ?,the headlesschookìmpersonatingghekowithnotail gotaway oh unlesthecatateit anyway im stil last withonly 5beetles
552826438798172160,charliehebdo,Sad sad day,"“ : At least 10 killed in shooting at French satirical newspaper Charlie Hebdo , Paris prosecutor's office says . http://t.co/CjpubYd0Rk ”"
552925665293778945,charliehebdo,thank you,prayers being sent
552791675379400705,charliehebdo,I strongly condemn this terrorist attack as a Turkish Muslim . I love my Prophet.But my Prophet rejects terrorism .,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552792030225920000,charliehebdo,"muslims , , this is the magazine that published the Mohamed cartoon a few years ago",Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552792351413133312,charliehebdo,“ : Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo http://t.co/6D2Z9UEwnx ” - just horrific,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552792826216329217,charliehebdo,Shit ... “ : Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/ENXAuuRuyv ”,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552793048510648320,charliehebdo,horrible news and a #Cowardly attack on the press !,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552794374950887425,charliehebdo,“ : Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/CDPVFv79w0 ”,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552795016725532672,charliehebdo,“ : Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/UDgEqcuSHx ”,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552795831599120384,charliehebdo,“ : Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo live updates http://t.co/gdG7LUx7US ” how horrific !,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552795888134144001,charliehebdo,disgusting,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552795898196291584,charliehebdo,Horrific : “ : Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/Zl4fwR6G4b ”,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552796077561094144,charliehebdo,This is their true colour :-(,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552796307627470848,charliehebdo,Shocking news .,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552797785427558401,charliehebdo,“ : Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/VlwekK6oQC ” More tragedy,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552808830598262785,charliehebdo,“ : Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/5aCd8u1xsY ” 🙏 #Prayers,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552810884314443776,charliehebdo,Appalling and so tragic . “ : 11 dead in shooting at Paris offices of satirical magazine Charlie Hebdo http://t.co/KJYnGV41fM ”,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552818611015131136,charliehebdo,actually 12 dead #Charlie Hebdo,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552822387448631296,charliehebdo,"it's painful and inhuman to kill innocent people , No religion permits it .",Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc
552824748879925248,charliehebdo,Your prophet ? Laughable your book is cut and pasted Torah and Christian translation . Scourge of the planet = ISLAM,I strongly condemn this terrorist attack as a Turkish Muslim . I love my Prophet.But my Prophet rejects terrorism .
552825507340091392,charliehebdo,Your filthy ISLAM must be eradicated . Liars cut and paste bogus religion . Lying is part of your pond scum faith .,"it's painful and inhuman to kill innocent people , No religion permits it ."
552826072237346817,charliehebdo,France & UK wake up fools Israel deals with ISLAM pond scum every day . You asked for this . Tip of iceberg . More to come .,actually 12 dead #Charlie Hebdo
552792742842363905,charliehebdo,Omg ! :-(,BREAKING Charlie Hebdo latest: 11 dead 10 wounded (five critical) two gunmen unaccounted for http://t.co/kjW3uwCV0f http://t.co/9K8ICs97Be
552794125167493120,charliehebdo,Horrific “ : BREAKING Charlie Hebdo latest : 11 dead 10 wounded ( five critical ) two gunmen unaccounted for http://t.co/UjRrLZpXOy,BREAKING Charlie Hebdo latest: 11 dead 10 wounded (five critical) two gunmen unaccounted for http://t.co/kjW3uwCV0f http://t.co/9K8ICs97Be
552795993553764354,charliehebdo,Should we blame the provocative or the provoked ? ?,BREAKING Charlie Hebdo latest: 11 dead 10 wounded (five critical) two gunmen unaccounted for http://t.co/kjW3uwCV0f http://t.co/9K8ICs97Be
552798917541511169,charliehebdo,the provoked .,Should we blame the provocative or the provoked ? ?
552798994456674304,charliehebdo,"Always the provoked of course , was that rhetorical ?",Should we blame the provocative or the provoked ? ?
552800910670569472,charliehebdo,Wild West Politics : Western Europe is suffering from its internal contradictions ; welcome to the tribal politics of the future .,BREAKING Charlie Hebdo latest: 11 dead 10 wounded (five critical) two gunmen unaccounted for http://t.co/kjW3uwCV0f http://t.co/9K8ICs97Be
552805237510385664,charliehebdo,a provocation is an invitation ! !,the provoked .
552805439474515968,charliehebdo,in invitation to getting killed ? you utter utter arse .,a provocation is an invitation ! !
552805557896482816,charliehebdo,You are a mad cunt go fuck yourself http://t.co/3Kh0DZNLqn,a provocation is an invitation ! !
552805909425307648,charliehebdo,a provocation is an invitation ! !,You are a mad cunt go fuck yourself http://t.co/3Kh0DZNLqn
552806009157464064,charliehebdo,"I feel provoked , luckily i believe in Liberty , o well words are wind",You are a mad cunt go fuck yourself http://t.co/3Kh0DZNLqn
552806259767123968,charliehebdo,a provocation is an open invitation ! !,You are a mad cunt go fuck yourself http://t.co/3Kh0DZNLqn
552806438629048320,charliehebdo,invitation to go how far ?,You are a mad cunt go fuck yourself http://t.co/3Kh0DZNLqn
552806489363337217,charliehebdo,"I'm in London right now , feel free to make an appointment",a provocation is an open invitation ! !
552806661149425664,charliehebdo,I'm too busy laughing to care .,invitation to go how far ?
552808594228670465,charliehebdo,To murder ? In the name of a peaceful religion ?,a provocation is an open invitation ! !
552816964436230144,charliehebdo,"... an invitation to grow the fuck up and stop being touchy , murderous bastards ?",a provocation is an invitation ! !
552793142693744640,charliehebdo,“ : #CharlieHebdo - 11 dead including 2 police in Paris shooting . Photo #AFP http://t.co/f2LHfFFvrb ”,#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7
552793785747660801,charliehebdo,Et merde . “ : #CharlieHebdo - 11 dead including 2 police in Paris shooting . Photo #AFP http://t.co/MFpQhJPBfz ”,#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7
552793899522355200,charliehebdo,I strongly condemn this terrorist attack as a Turkish Muslim . I love my Prophet.But my Prophet rejects terrorism .,#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7
552793901866971136,charliehebdo,Oh my God ! ! ! RT #CharlieHebdo - 11 dead including 2 police in Paris shooting . http://t.co/tzgCctKshB,#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7
552795124288073729,charliehebdo,how do you know that the attackers were muslims ?,I strongly condemn this terrorist attack as a Turkish Muslim . I love my Prophet.But my Prophet rejects terrorism .
552808923707617282,charliehebdo,“ : #CharlieHebdo - 11 dead including 2 police in Paris shooting . Photo #AFP http://t.co/rYQSyWmQi5 ” #tragedy,#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7
552834504520630274,charliehebdo,", spotted your photo http://t.co/EGHvdnhkpB",“ : #CharlieHebdo - 11 dead including 2 police in Paris shooting . Photo #AFP http://t.co/rYQSyWmQi5 ” #tragedy
552793275770613760,charliehebdo,RT At least 11 dead in shooting at HQ of #CharlieHebdo in #Paris ( police source ) https://t.co/Ty6ffQz7I3,"At least 11 dead in shooting at HQ of #CharlieHebdo in #Paris (police source)
https://t.co/e4dBcNVbvD"
552793675697094657,charliehebdo,"Only time I was in France , traveled from Switzerland to the UK . Dirty country , terrible roads . People jammed together . Won't visit","At least 11 dead in shooting at HQ of #CharlieHebdo in #Paris (police source)
https://t.co/e4dBcNVbvD"
552793775740055552,charliehebdo,“ : At least 11 dead in shooting at HQ of #CharlieHebdo in #Paris ( police source ) https://t.co/A8KPeuiVHR ”,"At least 11 dead in shooting at HQ of #CharlieHebdo in #Paris (police source)
https://t.co/e4dBcNVbvD"
552794232503951360,charliehebdo,This is the future of Europe . Thank you ...,"At least 11 dead in shooting at HQ of #CharlieHebdo in #Paris (police source)
https://t.co/e4dBcNVbvD"
552805269441622017,charliehebdo,France is a very beautiful country,"Only time I was in France , traveled from Switzerland to the UK . Dirty country , terrible roads . People jammed together . Won't visit"
552794951487352832,charliehebdo,"Sickening "" : 11 confirmed dead , Francois Hollande to visit scene of attack : http://t.co/g1eoeo9iiO http://t.co/spETEzMnQF ”","11 confirmed dead, Francois Hollande to visit scene of attack - latest from Paris: http://t.co/7N7uvClhWY http://t.co/EgmxARAdEP"
552796160101220352,charliehebdo,Hi this is the photo of our journalist please credit him at least .,"11 confirmed dead, Francois Hollande to visit scene of attack - latest from Paris: http://t.co/7N7uvClhWY http://t.co/EgmxARAdEP"
552796638436397056,charliehebdo,"indeed , this is called "" courtesy "" ( thing often unknown by british papers )",Hi this is the photo of our journalist please credit him at least .
552796679322492928,charliehebdo,"Je disais quoi ? Smh .. RT "" : Hi this is the photo of our journalist please credit him at least . """,Hi this is the photo of our journalist please credit him at least .
552796934134845440,charliehebdo,“ : Hi this is the photo of our journalist please credit him at least . ” lol business .. Encore et encore,Hi this is the photo of our journalist please credit him at least .
552798473389867009,charliehebdo,Photo shows attackers are at least trained & possibly experienced with combat weapons . More tracking needed of overseas fighters .,"11 confirmed dead, Francois Hollande to visit scene of attack - latest from Paris: http://t.co/7N7uvClhWY http://t.co/EgmxARAdEP"
552798644244860928,charliehebdo,". Well , are noting that whoever fired those bullets knew how to fire the gun properly . PN office dead ?","11 confirmed dead, Francois Hollande to visit scene of attack - latest from Paris: http://t.co/7N7uvClhWY http://t.co/EgmxARAdEP"
552800063756709888,charliehebdo,. Won't happen . Dover checks are focused mainly on de-worming treatments for dogs .,Photo shows attackers are at least trained & possibly experienced with combat weapons . More tracking needed of overseas fighters .
552800628012224512,charliehebdo,Wild West Politics : Western Europe is suffering from its internal contradictions ; welcome to the tribal politics of the future .,"11 confirmed dead, Francois Hollande to visit scene of attack - latest from Paris: http://t.co/7N7uvClhWY http://t.co/EgmxARAdEP"
552801740652036096,charliehebdo,lol nd u lot wanted to go paris to get our headgears ripped off,"11 confirmed dead, Francois Hollande to visit scene of attack - latest from Paris: http://t.co/7N7uvClhWY http://t.co/EgmxARAdEP"
552802770873761793,charliehebdo,"nah not even on that man , habibi marseille 💕",lol nd u lot wanted to go paris to get our headgears ripped off
552803445711708160,charliehebdo,Dua belas . RT : Charlie Hebdo shooting latest : 12 dead and gunmen still at large http://t.co/cFgVbBURhI http://t.co/cuY6pMdzBC,Charlie Hebdo shooting latest: 12 dead and gunmen still at large http://t.co/6jRqXgPogM http://t.co/hO7lvftma5
552804023389392896,charliehebdo,these fuckers thinking its a GTA heist mission,Charlie Hebdo shooting latest: 12 dead and gunmen still at large http://t.co/6jRqXgPogM http://t.co/hO7lvftma5
552804298870910977,charliehebdo,paris terrorist attack “ : Charlie Hebdo shooting latest : 12 dead & gunmen still at large http://t.co/eA4cESRDN1 http://t.co/FfdTL3FJFC ”,Charlie Hebdo shooting latest: 12 dead and gunmen still at large http://t.co/6jRqXgPogM http://t.co/hO7lvftma5
552804602702475265,charliehebdo,good,Charlie Hebdo shooting latest: 12 dead and gunmen still at large http://t.co/6jRqXgPogM http://t.co/hO7lvftma5
552806033585090560,charliehebdo,your readers love Muslim multiculturalism so they can look forward to this in the UK soon .,Charlie Hebdo shooting latest: 12 dead and gunmen still at large http://t.co/6jRqXgPogM http://t.co/hO7lvftma5
552808630022840320,charliehebdo,don't .,your readers love Muslim multiculturalism so they can look forward to this in the UK soon .
552846396106502144,charliehebdo,Horrible ! “ : Charlie Hebdo shooting latest : 12 dead and gunmen still at large http://t.co/X4dB9rqK0k http://t.co/741oNWbSS9 ”,Charlie Hebdo shooting latest: 12 dead and gunmen still at large http://t.co/6jRqXgPogM http://t.co/hO7lvftma5
552805699349016577,charliehebdo,The Quran calls for the execution of who ever insults their prophet . They are doing what their hateful religion tells them to do .,"At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs"
552805838323478528,charliehebdo,Today we mourn with France but in the weeks to come France needs to do some soul searching and introspection,"At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs"
552805847777415168,charliehebdo,"“ : At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris , official says . http://t.co/eS87lPU9Of ”","At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs"
552805987053490179,charliehebdo,Also security was abysmal and should have been heightened when so many threats had already happened towards this media agency,"At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs"
552806316855799808,charliehebdo,"Western leaders created terrorists with various Arabic "" springs "" by mercenaries jihadists.It was INEVITABLE to go west .","At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs"
552806438440292352,charliehebdo,disturbing .,"At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs"
552806469217681409,charliehebdo,it was time . Cause no respect for any religion . If talk about Jews . It's anti semite . If abuse Islam freedom of religion Deserve,"At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs"
552806494283251712,charliehebdo,insulting others people faith cannot be called freedom of speech . Chief editor is one to blame . I Do not justify monsters-jail them,"At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs"
552806943392145408,charliehebdo,Islamic terror . Empowered by media that makes excuses for it . Can't blame the Jews 4 this CNN . THIS is Islam,"At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs"
552807055275220996,charliehebdo,and lots of deportation,Today we mourn with France but in the weeks to come France needs to do some soul searching and introspection
552807316031287296,charliehebdo,if state cannot control such irresponsible magazines making fun of people's faith then monsters come and do thejob.Face consequences,"At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs"
552807385496973312,charliehebdo,Jews don't kill anyone if offended . Christians don't . Only these disgusting excuses for human beings . It's a CARTOON !,it was time . Cause no respect for any religion . If talk about Jews . It's anti semite . If abuse Islam freedom of religion Deserve
552807494545076225,charliehebdo,"Remember background : France , its Parliament & Senate + some left-wgd municipalities bending over backwards to please Palestinians ..","At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs"
552807670710038528,charliehebdo,"prophet moohammadd bedded horses , nothing more nothing less","At least 12 killed in today's attack on satirical magazine #CharlieHebdo in Paris, official says. http://t.co/zUfxcG3Rfs"
552807834078171136,charliehebdo,In France all Jewish official buldings including schools have to be tightly secured . Can't have police everywhere ...,Also security was abysmal and should have been heightened when so many threats had already happened towards this media agency
552808195710664704,charliehebdo,dif between satire & hatred . No Islamic sense of humor . Jihadists don't know what free speech means,it was time . Cause no respect for any religion . If talk about Jews . It's anti semite . If abuse Islam freedom of religion Deserve
552808282440859648,charliehebdo,the real problem was letting these moooslims into the free world.ask politicans why we need them . moohammadd bedded MR.ED,"Western leaders created terrorists with various Arabic "" springs "" by mercenaries jihadists.It was INEVITABLE to go west ."
552808456894169089,charliehebdo,satire . Get it ? Insults r free speech . Cowardice & murder r not . Islamic terror is celebrated by its followers,insulting others people faith cannot be called freedom of speech . Chief editor is one to blame . I Do not justify monsters-jail them
552808637719408641,charliehebdo,islam is not a religion its a brainwashed cult .,it was time . Cause no respect for any religion . If talk about Jews . It's anti semite . If abuse Islam freedom of religion Deserve
552809757225287681,charliehebdo,true but when you mock a religion every day - one should heighten security,In France all Jewish official buldings including schools have to be tightly secured . Can't have police everywhere ...
552809852834418688,charliehebdo,Hearts and prayers for families of these police and journalists,In France all Jewish official buldings including schools have to be tightly secured . Can't have police everywhere ...
552810175049244672,charliehebdo,CH mocks all religions . Only one replies with assault rifles . + there were policement there . Killed too .,true but when you mock a religion every day - one should heighten security
552810267772334080,charliehebdo,u go to jail for anti semite . Law . U can abuse any religion it's called freedom of speech . Be fair . It's hurtful,Jews don't kill anyone if offended . Christians don't . Only these disgusting excuses for human beings . It's a CARTOON !
552810426422267904,charliehebdo,There is no excuse - it is unacceptable always - we know in America how it feels,CH mocks all religions . Only one replies with assault rifles . + there were policement there . Killed too .
552811444119797761,charliehebdo,they are discusting animals,Jews don't kill anyone if offended . Christians don't . Only these disgusting excuses for human beings . It's a CARTOON !
552811728447078400,charliehebdo,hehehe yah like Judaism Christianity and worst hinduism . This is what fools in churches call it . Because they are afraid,islam is not a religion its a brainwashed cult .
552811993145835520,charliehebdo,"Hey buddy , I'm insulting your faith . Now go fuck yourself .",if state cannot control such irresponsible magazines making fun of people's faith then monsters come and do thejob.Face consequences
552812255805325313,charliehebdo,what freedom when you abuse a religion . These guys are freedom fighters for protecting Islam . Why no law protect religio,dif between satire & hatred . No Islamic sense of humor . Jihadists don't know what free speech means
552812435321536512,charliehebdo,"anti semitism , inciting hatred is VERY dif than satire & humor . Jews don't kill u forcartoon . Inciting hate tho is crime",u go to jail for anti semite . Law . U can abuse any religion it's called freedom of speech . Be fair . It's hurtful
552812476019269632,charliehebdo,"but the priests , rabbis & ministers don't preach ( kill all non moooslims ) not yet but lets hope we get it on.easy prey .",hehehe yah like Judaism Christianity and worst hinduism . This is what fools in churches call it . Because they are afraid
552812691509616642,charliehebdo,Muslims feel they r being attacked everywhere not even their religion . These tend to happen . No protection,they are discusting animals
552813227793321984,charliehebdo,what more hatred u want after abusing n Makin fun of the prophet . These guys who drew created hatred . Not attackers,"anti semitism , inciting hatred is VERY dif than satire & humor . Jews don't kill u forcartoon . Inciting hate tho is crime"
552813327018385408,charliehebdo,stay stupid and wait be the next victim . such trash like u cannot blame monsters . U deserve be punished by monsters,"Hey buddy , I'm insulting your faith . Now go fuck yourself ."
552813949427544064,charliehebdo,"Muslims are being persecuted for their religion ? In Pakistan , Nigeria or Paris ? #CharlieHebdo",what more hatred u want after abusing n Makin fun of the prophet . These guys who drew created hatred . Not attackers
552814354588909569,charliehebdo,"I have to say though , the honesty about the murderous tenets of your religion is refreshing . #CharlieHebdo","Muslims are being persecuted for their religion ? In Pakistan , Nigeria or Paris ? #CharlieHebdo"
552814516262555648,charliehebdo,hehe u Jews are good by changing subjects.open another topic . We are talking of anti semitsm and anti islam,"Muslims are being persecuted for their religion ? In Pakistan , Nigeria or Paris ? #CharlieHebdo"
552814605115064323,charliehebdo,u r not getting my point - monsters must be penalized . But entire society need to be responsible and not provoke monsters,satire . Get it ? Insults r free speech . Cowardice & murder r not . Islamic terror is celebrated by its followers
552814843288223744,charliehebdo,look you fool we are talking revenge . If u abuse any religion . Revenge will be taken that simple,"I have to say though , the honesty about the murderous tenets of your religion is refreshing . #CharlieHebdo"
552814935688740867,charliehebdo,free speech . They made fun of everyone ! Only islamics kill ppl for a joke . A cartoon . A little offense . No excuse,what more hatred u want after abusing n Makin fun of the prophet . These guys who drew created hatred . Not attackers
552815133299187712,charliehebdo,Bcoz they r killing people ! Slaughtering . ' In the name of their prophet ' no one else is doing that .,Muslims feel they r being attacked everywhere not even their religion . These tend to happen . No protection
552815313394229253,charliehebdo,its not islamaphobia to call an Islamic terrorist what he is . Muslims r silent & won't stand up,Muslims feel they r being attacked everywhere not even their religion . These tend to happen . No protection
552815468252127232,charliehebdo,freedom fighters ? ? Fighting AGAINST everyone else's freedom . Go away,what freedom when you abuse a religion . These guys are freedom fighters for protecting Islam . Why no law protect religio
552815524741001217,charliehebdo,that's the problem . Muslims are serious in their only and one true religion . They won't abuse of jesus moses or mohammed,free speech . They made fun of everyone ! Only islamics kill ppl for a joke . A cartoon . A little offense . No excuse
552815787484778497,charliehebdo,yeah ? I'd like to see you respond this way to anti-Semitic children's programs on Gaza tv,look you fool we are talking revenge . If u abuse any religion . Revenge will be taken that simple
552815897425891328,charliehebdo,anti semitism results in ppl killing Jews . But Jews don't slaughter anyone for offensive cartoons,hehe u Jews are good by changing subjects.open another topic . We are talking of anti semitsm and anti islam
552816063369326592,charliehebdo,infidels that r breathing offends these monsters . Freedom offends them .,u r not getting my point - monsters must be penalized . But entire society need to be responsible and not provoke monsters
552816072902979584,charliehebdo,sorry not in name of Prophet . In the name of God . Ezra to Jews is son of God . Just u guys r idol worship,Bcoz they r killing people ! Slaughtering . ' In the name of their prophet ' no one else is doing that .
552816281737363458,charliehebdo,BS . NO other religion teaches that it's great to kill everyone else for whatever stupid reason islamics do,look you fool we are talking revenge . If u abuse any religion . Revenge will be taken that simple
552816366101614592,charliehebdo,you fool . We r not talking of Gaza . Anti semitsm and no laws anti protection of islam,yeah ? I'd like to see you respond this way to anti-Semitic children's programs on Gaza tv
